시군구명,어린이집코,어린이집명,어린이집유,운영현황,우편번호,상세주소,전화번호,보육실수,보육실 면,놀이터수,CCTV총설치,보육교직원,정원,현원,시설 위도(,시설 경도(,통학차량운,서울형어린이집,750_유아인구수,750m_서울형어립이집,750m_국공립어린이집
강서구,11500000137,유성어린이집,민간,정상,7693,서울특별시 강서구 강서로48길 22 (내발산동),02-3664-0667,4,95,0,4,3,32,5,37.5524589,126.837742,운영,0,1951,5,7
강서구,11500000354,유창어린이집,가정,정상,7681,서울특별시 강서구 우장산로2길 21-22 101동 103호(내발산동 신세계5차),02-2663-2153,3,79,0,4,7,20,20,37.55348264,126.8387549,운영,1,1686,5,7
강서구,11500000590,이레어린이집,민간,정상,7609,서울특별시 강서구 금낭화로11길 48 (방화동 583-37),02-2665-0011,9,338,1,18,21,128,98,37.56946413,126.8100341,운영,0,1310,5,6
강서구,11500000700,잘자람어린이집,가정,정상,7604,서울특별시 강서구 방화대로37길 26 방화현대아파트101-102,02-2662-6660,4,62,0,4,8,19,16,37.57054093,126.8143527,미운영,0,2254,5,12
강서구,11500000325,혜시의사과나무어린이집,민간,정상,7705,서울특별시 강서구 강서로45길 37 (화곡동),02-2603-2888,8,383,1,10,19,116,104,37.54780486,126.8341003,운영,0,2142,5,10
강서구,11500000655,강서힐스테이트어린이집,민간,정상,7694,서울특별시 강서구 우현로 67,02-2607-7893,4,263,1,9,6,82,22,37.54611406,126.8382615,미운영,0,2155,4,9
강서구,11500000721,구립 피노키오어린이집,국공립,정상,7754,서울특별시 강서구 강서로12길 73,02-2605-7829,5,217,0,8,10,48,25,37.53226457,126.8511044,미운영,0,1920,4,9
강서구,11500000711,근로복지공단 강서어린이집,법인?단체등,정상,7707,서울특별시 강서구 강서로33가길 42,02-2690-2600,6,441,1,23,26,114,95,37.5435547,126.8378767,미운영,0,2230,4,7
강서구,11500000161,까치산어린이집,국공립,정상,7757,서울특별시 강서구 강서로12길 29-10,02-2699-2181,5,450,1,8,12,79,72,37.53236233,126.8484992,미운영,0,2179,4,9
강서구,11500000056,꼬마숲어린이집,민간,정상,7704,서울특별시 강서구 강서로45다길 30-27 초록아파트 단지 내 관리사무소 1층 꼬마숲어린이집,02-2696-3275,3,121,0,4,10,41,41,37.54563976,126.8340955,미운영,0,1900,4,8
강서구,11500000345,꿈사랑어린이집,가정,정상,7634,서울특별시 강서구 강서로47길 108 104동 101호(내발산동 마곡수명산파크1단지아파트),02-2667-1235,3,84,0,4,6,19,14,37.55487355,126.8314947,미운영,0,1492,4,9
강서구,11500000378,다해영재어린이집,민간,정상,7691,서울특별시 강서구 강서로 266 우장산대림e편한세상파크 관리동 다해영재어린이집,02-2608-0101,5,218,1,8,14,70,59,37.54878041,126.8394695,미운영,0,2144,4,7
강서구,11500000374,동그라미어린이집,가정,정상,7691,서울특별시 강서구 강서로 266 117동 102호(화곡동 우장산아이파크이편한세상아파트),02-832-4350,4,111,0,6,5,20,13,37.5498844,126.8380242,미운영,0,2207,4,8
강서구,11500000194,또래방어린이집,가정,정상,7691,서울특별시 강서구 강서로 266 126동 104호(화곡동 우장산아이파크이편한세상),02-2605-1406,3,100,0,4,7,20,18,37.54984031,126.8387175,미운영,1,2233,4,8
강서구,11500000409,리틀현대아이어린이집,가정,정상,7651,서울특별시 강서구 강서로 348 118동 103호(내발산동 현대홈타운),02-2658-0158,4,80,0,4,8,20,19,37.55584496,126.8400089,미운영,0,1541,4,6
강서구,11500000134,몬테소리동화나라어린이집,가정,정상,7605,서울특별시 강서구 방화대로 319 101동 102호(방화동 길성아파트),02-2661-6335,4,60,0,4,8,20,20,37.56929364,126.816164,미운영,1,2687,4,15
강서구,11500000618,별나라어린이집,가정,정상,7694,서울특별시 강서구 우현로 67 108동 101호(화곡동 강서힐스테이트),02-2603-2378,3,58,3,4,7,18,15,37.54605039,126.8378232,미운영,0,2161,4,10
강서구,11500000256,새빛아이어린이집,가정,정상,7706,서울특별시 강서구 강서로33가길 86 101동 106호(화곡동 프라임팰리스),02-2603-7288,4,53,0,4,4,19,8,37.54520119,126.8361871,미운영,0,2047,4,10
강서구,11500000106,새소망어린이집,민간,정상,7742,서울특별시 강서구 강서로18길 125 (화곡동),02-2601-0885,4,118,0,5,12,34,32,37.53528686,126.8524476,미운영,0,2130,4,11
강서구,11500000418,성산어린이집,민간,정상,7614,서울특별시 강서구 개화동로23길 111,02-2663-0471,5,194,1,6,15,70,61,37.56539789,126.8111282,운영,1,1812,4,7
강서구,11500000369,수명산어린이집,민간,정상,7634,서울특별시 강서구 강서로47길 108 마곡수명산파크 1단지 보육시설,02-2667-8532,4,101,0,5,6,35,12,37.55353857,126.8304424,미운영,1,1552,4,9
강서구,11500000363,아기새어린이집,가정,정상,7610,서울특별시 강서구 양천로6길 57 102동 106호(방화동 이편한세상아파트),02-2664-7277,4,93,0,4,10,20,20,37.570006,126.8080349,미운영,1,1188,4,6
강서구,11500000353,아이삭어린이집,가정,정상,7634,서울특별시 강서구 강서로47길 108 106동 101호(내발산동 마곡수명산파크1단지아파트),02-2667-1006,4,69,0,5,8,20,14,37.55427354,126.8309019,미운영,1,1549,4,9
강서구,11500000074,예심어린이집,가정,정상,7696,서울특별시 강서구 화곡로31길 18-3,02-2699-0698,3,55,0,5,6,20,14,37.54431085,126.8423477,미운영,0,2493,4,5
강서구,11500000536,잼잼서밋어린이집,민간,정상,7610,서울특별시 강서구 양천로14길 118 우림상가 1층 (방화동),02-2662-9009,4,127,0,5,6,26,22,37.56867343,126.8085901,미운영,0,1066,4,5
강서구,11500000636,진양아이어린이집,민간,정상,7726,서울특별시 강서구 까치산로 18-10,02-2699-9041,5,103,0,7,4,37,6,37.54135871,126.8430219,미운영,0,2626,4,6
강서구,11500000563,진영꼬마숲어린이집,가정,정상,7759,서울특별시 강서구 곰달래로27길 6 301호,02-2604-5111,3,63,0,3,3,20,10,37.53105654,126.8505552,미운영,0,1744,4,7
강서구,11500000240,초록별어린이집,가정,정상,7704,서울특별시 강서구 강서로45다길 30-27 106동 201호(화곡동 초록아파트),02-2604-9470,3,62,0,3,8,20,17,37.54521756,126.8334005,운영,1,1695,4,7
강서구,11500000115,한울어린이집,국공립,정상,7690,서울특별시 강서구 우현로 34,02-2602-3886,6,308,1,12,15,90,77,37.5482876,126.8417709,미운영,0,2200,4,7
강서구,11500000210,햇살어린이집,가정,정상,7688,서울특별시 강서구 화곡로53길 43-13,02-2606-1732,4,50,0,4,8,19,18,37.55117365,126.8464308,미운영,0,1965,4,6
강서구,11500000281,개구리 어린이집,협동,정상,7724,서울특별시 강서구 초록마을로24길 21-4,02-2691-7338,4,80,0,10,7,32,18,37.53920286,126.850679,미운영,0,2078,3,8
강서구,11500000668,구립 보솜어린이집,국공립,정상,7588,서울특별시 강서구 공항대로43길 39 1106동 1층 6호,02-2658-0223,4,96,3,6,10,28,23,37.55924761,126.8496331,미운영,0,1924,3,11
강서구,11500000735,구립 신태양어린이집,국공립,정상,7745,서울특별시 강서구 곰달래로31다길 25,02-2699-1921,7,306,1,30,16,99,79,37.53363601,126.8526347,미운영,0,1969,3,10
강서구,11500000685,구립 아기별어린이집,국공립,정상,7651,서울특별시 강서구 강서로 348 108동 101호(내발산동 우장산힐스테이트),02-3661-8846,3,60,0,5,7,20,20,37.55649444,126.8389125,미운영,0,1407,3,7
강서구,11500000012,구립 아이솔 어린이집,국공립,정상,7621,서울특별시 강서구 개화동로27길 13 (방화동),02-2664-9574,6,180,1,9,12,71,48,37.56444575,126.8073559,미운영,0,767,3,3
강서구,11500000714,구립 진로어린이집,국공립,정상,7587,서울특별시 강서구 공항대로 351-21 102동 102호,02-2658-4979,3,85,0,4,8,19,19,37.55982528,126.8469354,미운영,0,1636,3,10
강서구,11500000429,꿈땅어린이집,가정,정상,7682,서울특별시 강서구 우장산로8길 42 천우네오젠아파트 101호 (내발산동),02-2063-3392,3,52,0,4,4,19,8,37.55283182,126.8405217,미운영,0,1980,3,6
강서구,11500000046,동성어린이집,민간,정상,7726,서울특별시 강서구 강서로26길 63,02-2605-4176,8,216,1,10,15,78,68,37.54061849,126.8453821,미운영,0,2279,3,8
강서구,11500000118,로뎀어린이집,민간,정상,7605,서울특별시 강서구 양천로24길 31 로뎀어린이집 (방화동),02-2664-7060,8,308,1,10,14,115,68,37.57195771,126.8157698,미운영,0,2141,3,13
강서구,11500000075,롯데어린이집,민간,정상,7648,서울특별시 강서구 공항대로 382 롯데낙천대아파트 단지 내  롯데어린이집,02-2699-1188,4,114,0,7,10,43,41,37.55573578,126.8494817,운영,1,1577,3,7
강서구,11500000631,리라어린이집,민간,정상,7723,서울특별시 강서구 초록마을로18길 36,02-2605-3355,8,197,1,10,15,74,67,37.54056986,126.8488757,운영,0,1994,3,8
강서구,11500000665,미즈메디어린이집,직장,정상,7682,서울특별시 강서구 우장산로4길 25 1004동 1층 101호,02-2659-1419,3,55,0,7,3,19,3,37.55319664,126.8394617,미운영,0,1883,3,7
강서구,11500000557,버클리 어린이집,민간,정상,7637,서울특별시 강서구 강서로47바길 21,02-2663-5955,7,281,2,16,8,96,22,37.55247242,126.830122,운영,0,1598,3,9
강서구,11500000197,병아리어린이집,가정,정상,7587,서울특별시 강서구 공항대로 351-21 101동 106호(등촌동 진로미주아파트),02-2668-3574,3,60,0,4,7,19,19,37.55923971,126.8469961,미운영,1,1721,3,9
강서구,11500000544,뽀로로와친구들 어린이집,가정,정상,7723,서울특별시 강서구 초록마을로16길 24 (화곡동),02-2694-2023,3,80,0,4,2,18,3,37.54108007,126.849267,미운영,1,1951,3,7
강서구,11500000200,서울YMCA방화어린이집,국공립,정상,7611,서울특별시 강서구 개화동로21길 4 방화11단지아파트 내 서울YMCA방화어린이집 (방화동),02-2661-0255,3,193,0,4,8,45,33,37.56943517,126.8060752,미운영,0,890,3,4
강서구,11500000011,성모어린이집,국공립,정상,7576,서울특별시 강서구 공항대로43길 104 주공아파트 7단지 등촌7복지관 성모어린이집 (등촌동),02-2658-6524,5,120,1,12,10,59,31,37.56040704,126.8509352,미운영,0,1875,3,12
강서구,11500000300,숲속나라어린이집,민간,정상,7730,서울특별시 강서구 까치산로4길 64-6 (화곡동),02-2695-1918,4,107,0,6,10,40,40,37.54026657,126.8458369,미운영,0,2245,3,8
강서구,11500000108,신영광어린이집,민간,정상,7576,서울특별시 강서구 공항대로43길 104 주공아파트 8단지관리사무소2층 (등촌동),02-2658-2592,4,81,1,6,7,32,10,37.56080787,126.8508495,운영,1,1864,3,12
강서구,11500000543,아띠어린이집,가정,정상,7730,서울특별시 강서구 까치산로4다길 20 (화곡동),02-2601-1608,3,48,0,4,5,14,11,37.53991469,126.8452623,미운영,0,2195,3,7
강서구,11500000404,아름드리어린이집,가정,정상,7730,서울특별시 강서구 까치산로4라길 20 (화곡동),02-2695-2295,3,54,0,4,5,19,14,37.53899261,126.8457051,미운영,0,2227,3,7
강서구,11500000188,아이꿈어린이집,가정,정상,7586,서울특별시 강서구 공항대로39길 74 505동 105호(등촌동 등촌주공5단지아파트),02-3662-5201,4,41,0,4,3,15,8,37.56044426,126.844863,미운영,0,1521,3,10
강서구,11500000360,아이랑어린이집,가정,정상,7516,서울특별시 강서구 양천로3길 17 101동 106호(방화동 개화산 동부센트레빌),02-2665-4552,4,50,0,4,7,18,14,37.57297643,126.8062925,미운영,0,1002,3,6
강서구,11500000622,아이큰숲아기학교어린이집,가정,정상,7676,서울특별시 강서구 초록마을로21길 29,02-2607-2235,4,54,0,5,4,17,8,37.5408236,126.8528853,미운영,0,1781,3,7
강서구,11500000399,아이큰숲자연학교어린이집,민간,재개,7676,서울특별시 강서구 초록마을로21길 37 아이큰숲자연학교,02-2691-0489,4,284,2,8,12,66,54,37.54097205,126.8532596,운영,0,1769,3,6
강서구,11500000101,어린왕자어린이집,민간,정상,7751,서울특별시 강서구 강서로18가길 25 (화곡동),02-2602-7607,6,186,1,14,5,69,19,37.53505599,126.8462733,미운영,0,2679,3,10
강서구,11500000097,예원비전스쿨어린이집,민간,재개,7730,서울특별시 강서구 강서로24길 65 (화곡동),02-3665-9126,7,213,1,10,10,72,34,37.5394472,126.8462913,운영,0,2184,3,6
강서구,11500000140,오즈 어린이집,가정,정상,7517,서울특별시 강서구 방화대로45길 32 101동 102호(방화동 방화동부센트레빌),02-2665-9946,4,56,0,4,7,20,20,37.57484322,126.8143816,미운영,1,1850,3,9
강서구,11500000728,이화의료원어린이집,직장,정상,7804,서울특별시 강서구 공항대로 260 B관 4층,02-6986-5950,3,92,1,13,11,30,15,37.55704866,126.8365332,미운영,0,1281,3,7
강서구,11500000292,조은어린이집,가정,정상,7611,서울특별시 강서구 양천로6길 28 1206동 101호(방화동 방화도시개발공사아파트),02-2661-4582,3,43,0,3,7,16,15,37.5700915,126.8065971,미운영,1,945,3,6
강서구,11500000577,쥬빌리어린이집,가정,정상,7616,서울특별시 강서구 방화대로23길 60-15 (방화1동 611-165),02-2661-1193,4,39,0,5,4,13,4,37.56475918,126.8131644,미운영,0,2214,3,11
강서구,11500000749,청정원 마곡 어린이집,직장,정상,7616,서울특별시 강서구 초원로16길 12,02-2664-1613,4,170,0,0,6,49,9,37.56689519,126.8150126,,0,2857,3,12
강서구,11500000112,초록어린이집,국공립,정상,7676,서울특별시 강서구 초록마을로 81 (화곡동),02-2607-0359,5,250,2,12,12,67,63,37.54094342,126.8510676,미운영,0,1791,3,8
강서구,11500000057,초록영재어린이집,민간,정상,7723,서울특별시 강서구 초록마을로14길 2 (화곡동),02-2698-2293,6,137,0,7,7,39,22,37.54179033,126.8502179,운영,0,1788,3,7
강서구,11500000067,푸른어린이집,국공립,정상,7577,서울특별시 강서구 화곡로63가길 92 (등촌동),02-2658-5513,5,240,1,8,11,77,64,37.5617887,126.8498544,미운영,0,1973,3,13
강서구,11500000047,하얀마음어린이집,민간,정상,7723,서울특별시 강서구 초록마을로14길 24 (화곡동),02-2603-3910,3,84,0,3,7,21,12,37.54135543,126.8491486,운영,0,1929,3,8
강서구,11500000382,해송어린이집,가정,정상,7752,서울특별시 강서구 강서로18바길 9 골든리치빌102호 (화곡동),02-2605-5226,3,45,0,4,6,16,11,37.53547946,126.8497742,미운영,0,2352,3,10
강서구,11500000297,해아띠스쿨어린이집,민간,정상,7725,서울특별시 강서구 초록마을로6길 37-13,02-6085-7772,6,253,2,7,15,94,76,37.54082092,126.846881,미운영,0,2101,3,8
강서구,11500000405,해피엔젤어린이집,민간,재개,7677,서울특별시 강서구 까치산로12길 59,02-2608-3562,6,173,1,8,15,64,64,37.54285967,126.8488174,미운영,0,1792,3,6
강서구,11500000667,홈플러스어린이집,직장,정상,7567,서울특별시 강서구 화곡로 398 1층(등촌동 홈플러스 강서점 앤 본사사옥),070-4727-8805,4,187,1,22,15,49,34,37.55840515,126.8550192,미운영,0,1896,3,14
강서구,11500000261,화곡꼬마천사어린이집,가정,정상,7728,서울특별시 강서구 강서로26길 11 (화곡동),02-2694-7982,5,90,0,8,8,20,20,37.5394022,126.8427978,미운영,0,2418,3,5
강서구,11500000438,BeBe스쿨어린이집,가정,정상,7725,서울특별시 강서구 초록마을로 146 102호,02-335-1730,3,55,0,4,7,20,18,37.53691464,126.8482806,미운영,0,2483,2,11
강서구,11500000184,강서구청어린이집,직장,정상,7663,서울특별시 강서구 화곡로44나길 72 1층2층 강서구청어린이집,070-8879-0622,4,198,0,18,15,49,34,37.54977756,126.8509648,미운영,0,1295,2,5
강서구,11500000710,강서햇빛발도르프어린이집,협동,정상,7662,서울특별시 강서구 까치산로18길 35 강서햇빛발도르프어린이집,02-2653-2462,3,94,0,0,7,35,17,37.54671627,126.8508408,미운영,0,1385,2,6
강서구,11500000013,구립 가양 어린이집,국공립,정상,7523,서울특별시 강서구 양천로49길 26 (가양동),02-3662-9691,6,199,2,12,14,87,77,37.56990845,126.8408957,미운영,0,839,2,3
강서구,11500000681,구립 꼬꼬마라인어린이집,국공립,정상,7548,서울특별시 강서구 화곡로68길 33 102동 101호(등촌동 라인아파트),02-6736-2352,4,60,0,4,8,20,20,37.55951064,126.8564658,미운영,0,1850,2,12
강서구,11500000660,구립 노블키즈어린이집,국공립,정상,7634,서울특별시 강서구 강서로47길 108 109동 102호,02-6012-2430,3,70,0,6,8,20,19,37.55394254,126.8294145,미운영,0,1403,2,8
강서구,11500000672,구립 뽄다어린이집,국공립,정상,7768,서울특별시 강서구 강서로17라길 7-8 (화곡동),02-2648-0148,4,68,0,6,10,20,20,37.53285642,126.840338,미운영,0,1664,2,6
강서구,11500000734,구립 새하늘어린이집,국공립,정상,7768,서울특별시 강서구 강서로17다길 15-14,02-2603-2225,7,245,1,32,15,92,87,37.53329711,126.8414119,미운영,0,1911,2,6
강서구,11500000720,구립 샛별어린이집,국공립,정상,7730,서울특별시 강서구 초록마을로 166,02-2606-5070,3,106,0,5,9,19,18,37.53633516,126.8460868,미운영,0,2617,2,10
강서구,11500000729,구립 아이나무어린이집,국공립,정상,7711,서울특별시 강서구 화곡로13가길 5,02-6949-1305,5,130,1,20,12,48,44,37.54136832,126.833593,미운영,0,1325,2,5
강서구,11500000739,구립 우장숲어린이집,국공립,정상,7695,서울특별시 강서구 화곡로41길 19,02-2691-3690,5,215,1,24,14,72,57,37.54645059,126.8439612,미운영,0,2238,2,4
강서구,11500000738,구립 이든아이어린이집,국공립,정상,7674,서울특별시 강서구 까치산로18나길 22-1,02-2605-0241,5,186,1,8,11,59,46,37.54634468,126.8491272,미운영,0,1621,2,6
강서구,11500000684,구립 큰별어린이집,국공립,정상,7578,서울특별시 강서구 화곡로63가길 71 1005동 106호(등촌동 등촌주공10단지아파트),02-3664-4775,3,50,0,4,6,15,15,37.56247823,126.8483052,미운영,0,1633,2,11
강서구,11500000661,구립 푸른별어린이집,국공립,정상,7634,서울특별시 강서구 강서로47길 158 201동 104호,02-2667-2288,3,72,0,4,12,20,20,37.55386354,126.8277539,미운영,0,1490,2,8
강서구,11500000722,구립 푸른솔어린이집,국공립,정상,7703,서울특별시 강서구 화곡로13길 107 104동 104호(화곡동화곡푸르지오),02-6342-0042,4,55,0,4,8,19,18,37.54240976,126.8309768,미운영,0,868,2,4
강서구,11500000730,구립 하늘마음어린이집,국공립,정상,7724,서울특별시 강서구 초록마을로 106,02-6959-7736,7,154,1,24,15,51,41,37.53899993,126.8514078,미운영,0,2021,2,8
강서구,11500000044,구립 하늘숲어린이집,국공립,정상,7710,서울특별시 강서구 강서로45다길 102 (화곡동),02-2699-2220,5,225,2,14,15,83,71,37.54325103,126.8329648,미운영,0,1304,2,4
강서구,11500000718,구립 한빛어린이집,국공립,정상,7783,서울특별시 강서구 강서로8길 134,02-2697-6711,8,566,1,11,27,132,100,37.5303892,126.8555062,미운영,0,1306,2,6
강서구,11500000705,구립 한숲어린이집,국공립,정상,7518,서울특별시 강서구 방화대로50길 7 101동 102호(방화동 한숲마을대림아파트),02-6348-7942,4,60,0,4,8,20,16,37.57706018,126.8175996,미운영,0,1379,2,7
강서구,11500000737,구립대우주어린이집,국공립,정상,7703,서울특별시 강서구 화곡로13길 107 135동 101호,02-2605-7313,4,97,0,5,10,20,20,37.5444628,126.8316879,미운영,0,1268,2,6
강서구,11500000584,굿모닝어린이집,가정,정상,7548,서울특별시 강서구 화곡로68길 33 라인아파트101-104,02-6341-5200,4,58,1,4,7,20,20,37.55902817,126.8561074,미운영,0,1863,2,12
강서구,11500000179,귀염이어린이집,가정,정상,7524,서울특별시 강서구 강서로 532 101동 102호(가양동 동신아파트),02-2659-7337,4,67.12,2,5,9,20,20,37.57307183,126.8432463,미운영,1,588,2,1
강서구,11500000745,근로복지공단 곰달래어린이집,법인?단체등,정상,7740,서울특별시 강서구 곰달래로53길 30-20,02-2646-7142,5,216,1,32,19,70,61,37.53367005,126.8602518,미운영,0,1140,2,5
강서구,11500000189,까꿍어린이집,가정,정상,7783,서울특별시 강서구 강서로10길 150 (화곡동),02-2608-3465,2,59,0,3,3,12,4,37.53091482,126.8561501,미운영,0,1388,2,7
강서구,11500000575,꼬마궁어린이집,가정,정상,7739,서울특별시 강서구 등촌로13바길 49-12,02-2652-3805,3,39,0,4,6,14,12,37.53521199,126.8574965,미운영,0,1602,2,7
강서구,11500000392,꼬마별어린이집,가정,정상,7592,서울특별시 강서구 방화대로44길 42 101동 103호(방화동 승윤노블리안아파트),02-2666-9551,4,61,0,4,7,19,13,37.57144261,126.8176841,미운영,0,2007,2,14
강서구,11500000531,꿈꾸는어린이집,민간,정상,7512,서울특별시 강서구 금낭화로24가길 21 (방화동),02-2665-5000,6,135,0,7,8,47,27,37.57901608,126.8151864,운영,0,955,2,6
강서구,11500000078,꿈을여는어린이집,민간,정상,7740,서울특별시 강서구 곰달래로53가길 6 (화곡동),02-2648-2445,10,311,1,15,20,99,81,37.53352024,126.8592875,운영,0,1264,2,6
강서구,11500000286,나무와열매어린이집,민간,정상,7519,서울특별시 강서구 방화대로48길 40 방화2단지아파트(방화동),02-2662-6668,6,276,1,12,20,99,79,37.57520118,126.8186089,운영,0,1657,2,9
강서구,11500000077,늘푸른어린이집,민간,정상,7767,서울특별시 강서구 가로공원로76가길 53 2층 (화곡동),02-2693-6028,4,108,0,4,8,39,34,37.53407015,126.8417299,미운영,0,2133,2,7
강서구,11500000081,늘품어린이집,민간,정상,7751,서울특별시 강서구 강서로18다길 41 2층,02-2608-0177,5,132,0,7,6,39,15,37.53595984,126.8467353,미운영,0,2732,2,10
강서구,11500000215,단꿈어린이집,가정,정상,7522,서울특별시 강서구 양천로47길 118 104동 101호 (마곡동 벽산아파트),02-6341-7979,3,64,0,4,7,20,19,37.57538898,126.8377624,미운영,0,299,2,1
강서구,11500000411,단향어린이집,가정,정상,7730,서울특별시 강서구 초록마을로 156-3,02-3662-8648,2,49,0,4,7,14,8,37.53646037,126.8471048,미운영,1,2573,2,10
강서구,11500000204,달님별님어린이집,가정,정상,7738,서울특별시 강서구 곰달래로51길 14 (화곡동),02-2653-1335,3,90,0,4,8,20,19,37.53236828,126.8585119,미운영,0,1327,2,6
강서구,11500000207,대림어린이집,가정,정상,7579,서울특별시 강서구 공항대로39길 100 105동 103호(등촌동 대림아파트),02-3662-6422,3,60,0,4,6,20,13,37.56257367,126.8472071,미운영,0,1505,2,10
강서구,11500000583,도토리어린이집,가정,정상,7738,서울특별시 강서구 곰달래로51길 46,02-2649-4912,3,57,0,4,6,20,15,37.53380936,126.8580736,미운영,0,1405,2,6
강서구,11500000567,동성스마일어린이집,가정,정상,7580,서울특별시 강서구 강서로68길 108 동성아파트 106-106,02-2699-1003,3,56,0,4,6,20,18,37.56375765,126.8465652,미운영,0,1565,2,10
강서구,11500000229,동화나라어린이집,가정,정상,7519,서울특별시 강서구 양천로 125 101동 107호(방화동 장미아파트),02-2666-5989,4,57,0,5,5,20,12,37.57369488,126.8175456,미운영,0,1923,2,11
강서구,11500000445,드림어린이집,국공립,정상,7641,서울특별시 강서구 수명로2길 50 (내발산동),02-2662-8170,4,164,1,6,8,49,19,37.54941891,126.8262733,미운영,0,1315,2,7
강서구,11500000625,딸기어린이집,가정,정상,7630,서울특별시 강서구 마곡중앙로 33 마곡엠밸리 14단지 1403-105,02-6214-5887,3,72,1,4,7,20,15,37.5568299,126.8245781,미운영,0,2358,2,8
강서구,11500000664,마곡 이화어린이집,민간,정상,7599,서울특별시 강서구 마곡중앙3로 74 관리동 1층(마곡동마곡힐스테이트),02-2663-7171,6,301,2,13,17,79,70,37.56452435,126.8171209,미운영,0,2973,2,13
강서구,11500000364,마곡 행복한i어린이집,민간,정상,7635,서울특별시 강서구 수명로2길 63 마곡수명산파크602동 관리동,02-2667-7714,4,80,0,5,4,25,7,37.55027349,126.8257698,미운영,0,1225,2,7
